"","X.2","X.1","X","Subnum","Sex","Race","Ethnicity","Big5O","Big5C","Big5E","Big5A","Big5N","Bis11Score","CESD","ESIBF_Disinhibition","ESIBF_SubstanceUse","NPI","PSWQ","STAIS","STAIT","TPM_Boldness","TPM_Disinhibition","TPM_Meanness","Condition","ReactTime","Reward","BestOption","KeyResponse","SetSeen.","OptionRwdMean","Phase","subjID","trial","DeltaTVal","DeltaAVal","delta_bestValue","DecayTVal","DecayAVal","decay_bestValue","decayWinTVal","decayWinAVal","decayWin_bestValue","decayLossTVal","decayLossAVal","decayLoss_bestValue","PVLDecayITParam","PVLDecayDecayparam","PVLDecayShape","PVLDecayLossAversion","PVLDecay_bestValue","PVLDeltaITParam","PVLDeltaRecencyparam","PVLDeltaShape","PVLDeltaLossAversion","PVLDelta_bestValue","PVPEDecayITParam","PVPEDecayDecayParam","PVPEDecayShape","PVPEDecayWeightPosPE","PVPEDecay_bestValue","DeltaUncertaintyITParam","DeltaUncertaintyDecayParam","DeltaUncertaintyShape","DeltaUncertaintyWeightPosPE","DeltaUncertainty_bestValue","deltaBIC","decayWinBIC","decayLossBIC","decayBIC","PVLDecayBIC","PVLDeltaBIC","PVPEDecayBIC","DeltaUncertaintyBIC"
"1",1,1,1,1,"Male","Black or African American","Not Hispanic or Latino",24,23,29,28,28,75,24,29,10,10,60,45,49,23,31,17,"Losses",4500,0.267186682303097,1,3,"1",-0.25,"Train",1,1,0.134705385052749,1,172.179043205557,1e-04,0.99,172.594318551406,0.576182468265785,0.253959549956997,153.045635770889,1e-04,0.930993545723631,172.594980752722,0.914756474159447,0.123342461559704,1,0,162.044123693605,0.795465141827211,0.99,1,0,166.453843857716,0.825053767291881,0.266275626052932,0.420900532334867,1,152.32166956179,0.00419403283721283,0.0569180410608252,4.89664609410038,292.382106416718,138.189645993369,355.392992204044,317.126177334708,356.224867298374,356.223542895742,346.158058973068,354.977499301291,326.713150709438,298.449103572597
"251",751,751,751,4,"Female","White","Hispanic or Latino",26,29,24,43,32,62,17,9,12,7,61,52,42,26,8,12,"Gains",2636,0.70267771852711,0,4,"1",0.25,"Train",2,1,1.76401601107014,0.11853862426395,116.396469645192,0.107113485655927,0.0147020446101793,135.283976003612,0.171512942810479,0.0184894900204032,125.657539405712,0.161267902332832,0.578960951720845,172.361038703785,0.072578116438667,0.01,0,5,124.489851593197,2.09998179171089,0.137695969620074,0.387190871014992,0,113.5247349999,0.917811732640163,0.0700269062002967,0.0233866662819258,0.539468622464129,114.822353666132,1.71779560186222,0.0856497691566548,0.5,0.881855989660919,115.570216336418,243.827845083313,262.349984604352,355.756983200498,281.602857800153,271.049514772253,249.119281585658,251.714518918122,253.210244258695
"501",1001,1001,1001,5,"Female","White","Not Hispanic or Latino",20,20,20,32,32,82,33,16,1,1,73,55,63,9,16,5,"Losses",6539,-0.86207972241475,1,1,"0",-0.35,"Train",3,1,0.731545972635181,0.384204877772652,163.371589539833,0.133216731857205,0.071733375254269,171.577400052725,0.419439741435854,0.276484370042699,165.685308125726,0.0579167256623857,0.0398166112737446,171.895422471147,0.385000275527578,0.0884556965948848,0.0173726083217547,0,166.498354905261,0.237540556536686,0.397875052618084,0.682870399310066,5,162.901168092919,0.428243254104081,0.276456862421387,0,0.974605413062848,165.678250913431,0.731545590045029,0.384205603773035,5,0,163.371589539845,337.778084872595,342.405522044381,354.825750735224,354.189705898379,355.066521396381,347.872147771697,353.42631341272,348.812990665549
"751",1751,1751,1751,8,"Male","White","Not Hispanic or Latino",36,33,27,31,28,74,42,17,0,23,67,51,51,30,28,28,"Losses",5653,-0.145354807470708,1,1,"0",-0.35,"Train",4,1,1.48093024335452,0.364167599811166,120.022583910495,1e-04,0.99,172.594878230921,0.239237279205958,0.0281062556927865,120.979684365814,1e-04,0.99,172.595530287432,0.502678793593844,0.0393695329842681,0,0,133.285656283226,0.589904267404829,0.353356644192016,1,5,117.440074304308,0.537817126676354,0.0262387443600092,0,0.680927611539363,106.911800397595,1.3448479312214,0.227390504127137,0.5,2.33649290127402,114.475432261567,251.080073613919,252.994274524557,356.225966367793,356.224662254772,288.64112415231,256.949960194476,235.893412381049,251.020676108992
"1001",3001,3001,3001,13,"Female","Asian","Not Hispanic or Latino",41,30,35,34,23,70,15,33,6,18,61,44,47,36,29,11,"Gains",1431,1.1566399860835,1,1,"0",0.65,"Train",5,1,1e-04,1e-04,172.593653172034,0.359255359330854,0.13121293727521,161.250762475951,0.550972136177322,0.240627702002198,159.909076190482,0.0248059479812673,0.963432324111871,172.578301167204,0.286815346497451,0.0909092289148872,0.00828980583781309,1.30899173600429,153.729552751995,0.373136955180414,0.99,0,0.0377246822170859,168.991737794517,0.55718402358505,0.240781476499342,0,0.979461436839834,159.905523083556,0.38246099013596,0.153595730013712,0.5,28.1056227792992,160.00742260515,356.222212136998,330.853058173894,356.191508127338,333.536430744831,329.528917089849,360.053287174892,341.880857752971,342.084656796159
"1251",3251,3251,3251,14,"Female","White","Not Hispanic or Latino",37,35,28,37,17,62,6,4,2,23,35,29,26,41,6,7,"Gains",3646,0.771607212549818,0,4,"1",0.25,"Train",6,1,1e-04,1e-04,172.593653536968,0.00481801122471725,0.01,172.579874202553,0.0926899283621581,0.0362357857986238,171.159151947255,0.766206847285975,0.790963764527564,165.35772459057,0.0588440387874401,0.01,0,0,164.671182661574,1e-04,0.01,0,0,172.593840182726,0.758355574210986,0.790469848378677,0,0,165.365253689126,0.0024967368093755,0.0230237935852416,4.98590104659495,308.052026558484,166.923527713514,356.222212866865,353.353209687439,341.75035497407,356.194654198035,351.412176909008,367.257491951312,352.800318964111,355.916867012887
"1501",4251,4251,4251,18,"Female","White","Not Hispanic or Latino",30,22,36,25,29,92,33,26,14,21,73,61,55,27,24,18,"Gains",3951,1.11363843672814,0,4,"1",0.25,"Train",7,1,1e-04,1e-04,172.593657756568,0.179576197933745,0.01,146.766608085257,0.341996827524366,0.0340138449979535,148.612955363267,1e-04,0.99,172.595053028204,0.147111740421605,0.01,0,0.42762299048319,129.101510192398,0.221239322603675,0.0988653658650874,0,0.00227954130122926,172.489477190551,0.359507148023898,0.0339516306666933,0,1,148.689808946867,0.0168275930277427,0.240934807177331,0.5,1000,141.579975969524,356.222221306065,308.260816519464,356.225011849337,304.568121963444,280.272831970655,367.048765966961,319.449429479593,305.229763524906
"1751",4501,4501,4501,19,"Male","White","Not Hispanic or Latino",44,39,33,38,15,53,11,6,7,15,49,20,23,35,10,9,"Losses",4380,-0.83315351174143,0,4,"1",-0.75,"Train",8,1,5,1e-04,170.943422887657,0.587246424579419,0.99,168.976491757017,0.10533188905857,0.0411815683075145,170.381711552409,0.445832444335035,0.845495023428322,170.33247151229,0.438646656257034,0.01,1,0,166.822731941489,3.49815914679487,0.01,1,0,166.543030627066,0.458889058493394,0.99,0,0,170.355523585634,0.0426342408965937,0.0224601878426412,5,11.4732895200647,170.20706048867,352.921751568242,351.798328897748,351.69984881751,348.987889306964,355.715275468837,355.15587283999,362.780858757127,362.4839325632
"2001",4751,4751,4751,20,"Male","White","Not Hispanic or Latino",38,33,33,39,21,64,7,6,3,12,50,35,29,32,7,8,"Gains",10560,0.732112255233508,0,2,"0",0.35,"Train",9,1,1.62863817047399,0.259930255237615,114.68566293455,0.117001354612219,0.01,113.283817867098,0.131342598240779,0.01,118.464691344164,1e-04,0.99,172.594505005775,0.102133911385426,0.01,0,0,106.753252358833,1.49129724028805,0.195728888549082,1,4.84311285957933,110.726967491381,0.248188083138998,0.01,0.390685647440455,1,116.441137997173,0.203912822265347,0.022088150775713,5,8.47109640634095,111.959680400122,240.406231662028,247.964288481257,356.223915804479,237.602541527125,235.576316303525,243.52374656862,254.952087580205,245.989172386102
"2251",5001,5001,5001,21,"Male","More than one Race","Not Hispanic or Latino",34,33,25,32,18,67,11,10,12,11,43,24,32,34,12,14,"Losses",5349,-0.63751384983178,0,2,"0",-0.65,"Train",10,1,3.39802594831139,0.00264393613039447,138.124701844634,0.85362647636232,0.99,151.279158308203,0.101697711072959,0.01,144.6199435795,0.821081076125467,0.99,153.250435153107,0.250700489171883,0.01,0,0,142.71478356559,1.19737013080566,0.01,1,5,138.634889377043,0.186931588650283,0.01,0,0.588753718564148,139.43809476179,2.32883335416992,0.01,0.5,0,140.016593082176,287.284309482198,300.274792951929,317.535776099143,313.593222409335,307.499378717039,299.339590339944,300.946001109438,302.10299775021
