participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC
1,129.88570813574486,"[1.1796588947776567, 0.18768606991572756]",[0.01643762 0.8026592 ],263.7714162714897,268.9817566434659
2,138.6294531445059,"[0.22050815213691502, 0.8008628831185584]",[1.000e-04 9.999e-01],281.2589062890118,286.469246660988
3,138.59746976268238,"[1.089701623941067, 0.9364924213153799]",[0.82567449 0.9999    ],281.19493952536476,286.40527989734096
4,138.62945149663437,"[0.9098918082522964, 0.9339869336761228]",[1.000e-04 9.999e-01],281.25890299326875,286.46924336524495
5,138.62894147021942,"[1.4092377798682771, 0.3163725619600918]",[0.1647802 0.9999   ],281.25788294043883,286.46822331241503
6,127.193286490384,"[3.156767314703994, 0.2771071232746106]",[0.05772921 0.92084264],258.386572980768,263.5969133527442
7,116.80670966978393,"[0.04338143091086524, 0.8658984022449396]",[0.02072301 0.70034479],237.61341933956786,242.82375971154403
8,138.62949132444567,"[1.7887873280683402, 0.5201775518700051]",[1.000e-04 9.999e-01],281.25898264889133,286.46932302086753
9,129.2875282595917,"[1.8712318780302553, 0.7556414355942347]",[0.00394347 0.44285208],262.5750565191834,267.7853968911596
10,138.6294370743217,"[3.879711746717341, 0.4692155832273195]",[1.000e-04 9.999e-01],281.2588741486434,286.4692145206196
11,136.2861149180059,"[0.42066415361133364, 0.7931041391556907]",[0.01929595 0.92432937],276.5722298360118,281.782570207988
12,138.6249846679938,"[0.9938947540838518, 0.14662632258653419]",[0.42367747 0.9999    ],281.2499693359876,286.4603097079638
13,138.62945987408696,"[3.2332814390802267, 0.9933948399556972]",[1.000e-04 9.999e-01],281.2589197481739,286.4692601201501
14,138.62946110986516,"[0.18676113296865254, 0.4402770784010672]",[1.000e-04 9.999e-01],281.2589222197303,286.4692625917065
15,138.62946756497783,"[0.9435909197857708, 0.25870864617931477]",[1.000e-04 9.999e-01],281.25893512995566,286.46927550193186
16,138.62944668813878,"[1.8560127475658965, 0.8529163030368314]",[1.000e-04 9.999e-01],281.25889337627757,286.46923374825377
17,138.62944133313465,"[0.8140802136585946, 0.4714873490051023]",[1.000e-04 9.999e-01],281.2588826662693,286.4692230382455
18,136.31009210394183,"[1.1468535040102419, 0.27109163313370843]",[0.00864909 0.8323888 ],276.62018420788365,281.83052457985985
19,138.5983276225238,"[0.28143573358396035, 0.036861912482650305]",[0.82438844 0.9999    ],281.1966552450476,286.4069956170238
20,135.12503731374798,"[0.8550375234089476, 0.07138365740164396]",[0.00792153 0.72989285],274.25007462749596,279.46041499947216
