participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC
1,130.10945704481264,"[1.8554696722752628, 0.3102309507360124]",[0.00320814 0.46278119],264.2189140896253,269.4292544616015
2,138.6295334644826,"[2.4402558000916765, 0.009615410551710597]",[0.0001 0.0001],281.2590669289652,286.4694073009414
3,127.41524926527279,"[0.7137478199103079, 0.6729844801613567]",[0.01380786 0.12837456],258.8304985305456,264.0408389025218
4,134.5271761727395,"[0.39705554509189017, 0.5873942681999892]",[0.00432462 0.23754734],273.054352345479,278.2646927174552
5,138.62948363384703,"[0.26695179917341827, 0.12897961706449498]",[0.0001 0.0001],281.25896726769406,286.46930763967026
6,134.13626015152417,"[1.2981850819592269, 0.11627852055261655]",[0.00111691 0.9999    ],272.27252030304834,277.48286067502454
7,121.37082002429302,"[0.1141015692765512, 0.7638988095603444]",[0.00801424 0.27542491],246.74164004858605,251.95198042056222
8,138.62955969273338,"[0.3725280670523618, 0.015530147588911112]",[0.0001 0.0001],281.25911938546676,286.46945975744296
9,133.22925557250824,"[0.07098201511428952, 0.36290551925265035]",[0.00122071 0.8063795 ],270.4585111450165,275.6688515169927
10,138.62954749887876,"[0.9743812294682777, 0.10506427507225896]",[0.0001 0.0001],281.25909499775753,286.46943536973373
11,136.98938951264384,"[1.8871435772598364, 0.06501301663920629]",[6.71904779e-04 9.99900000e-01],277.9787790252877,283.1891193972639
12,138.6295065831591,"[1.545858596882235, 0.1639769704151067]",[0.0001 0.0001],281.2590131663182,286.4693535382944
13,138.62958301847837,"[1.7847896233994216, 0.228071979627023]",[0.0001 0.0001],281.25916603695674,286.46950640893294
14,138.62950101494775,"[1.973918509106182, 0.09983740746555593]",[0.0001 0.0001],281.2590020298955,286.4693424018717
15,136.49763448761422,"[1.190023987368137, 0.09504461071711985]",[0.00181699 0.44824238],276.99526897522844,282.20560934720464
16,135.0210565392995,"[0.6154591132864209, 0.9265805197342987]",[0.00461571 0.19303447],274.042113078599,279.2524534505752
17,135.27793502702585,"[3.2473781002421176, 0.055456667530242636]",[0.00286885 0.31013481],274.5558700540517,279.7662104260279
18,131.2721771921346,"[0.43266495219426615, 0.6497756806212681]",[0.00772819 0.18993787],266.5443543842692,271.7546947562454
19,138.5263106802227,"[0.05778314374123422, 0.8071259579174817]",[0.00050372 0.24701748],281.0526213604454,286.2629617324216
20,136.53829327340472,"[3.1607457843179065, 0.0258284683949614]",[7.59132992e-04 9.99900000e-01],277.07658654680944,282.28692691878564
21,132.56431094459828,"[1.48342597460741, 0.06737211647747823]",[0.00118726 0.9999    ],269.12862188919655,274.33896226117275
22,136.0772061490929,"[0.30297711719878695, 0.505389885997443]",[0.00176391 0.50668076],276.1544122981858,281.364752670162
