"ID","X","UniBinChoice","SGTBinChoice","SGTFreqVsValue","MGBinChoice","MGGain","MGLoss","MGValue","SGTReward","UniReward","Block","k","IUSScore","BaseCorona","Between","MGLA","MGLogLA","CoronaLA","CoronaLogLA"
1,0,"a","a","a","b",70,20,50,200,-22,1,432.069596282617,NA,0.69047619047619,0,NA,NA,NA,NA
1,1,"a","d","b","a",100,30,70,-100,-21,1,432.069596282617,NA,0.69047619047619,0,NA,NA,NA,NA
1,2,"b","c","b","a",30,45,-15,-200,19,1,432.069596282617,NA,0.69047619047619,0,NA,NA,NA,NA
1,3,"b","b","a","a",80,5,75,100,18,1,432.069596282617,NA,0.69047619047619,0,NA,NA,NA,NA
1,4,"a","d","b","a",10,30,-20,-100,54,1,432.069596282617,NA,0.69047619047619,0,NA,NA,NA,NA
1,5,"a","c","b","a",60,40,20,-200,79,1,432.069596282617,NA,0.69047619047619,0,NA,NA,NA,NA
1,6,"a","d","b","a",50,15,35,-100,82,1,432.069596282617,NA,0.69047619047619,0,NA,NA,NA,NA
1,7,"a","c","b","a",20,45,-25,-200,42,1,432.069596282617,NA,0.69047619047619,0,NA,NA,NA,NA
1,8,"a","c","b","a",40,20,20,-200,8,1,432.069596282617,NA,0.69047619047619,0,NA,NA,NA,NA
1,9,"a","c","b","a",50,50,0,1050,9,1,432.069596282617,NA,0.69047619047619,0,NA,NA,NA,NA
1,10,"a","c","b","a",100,5,95,-200,22,1,432.069596282617,NA,0.69047619047619,0,NA,NA,NA,NA
1,11,"a","d","b","a",90,5,85,-100,8,1,432.069596282617,NA,0.69047619047619,0,NA,NA,NA,NA
1,12,"a","d","b","a",40,50,-10,650,-14,1,432.069596282617,NA,0.69047619047619,0,NA,NA,NA,NA
1,13,"a","d","b","a",70,30,40,-100,20,1,432.069596282617,NA,0.69047619047619,0,NA,NA,NA,NA
1,14,"a","c","b","a",100,10,90,-200,47,1,432.069596282617,NA,0.69047619047619,0,NA,NA,NA,NA
1,15,"a","d","b","a",70,45,25,-100,-6,1,432.069596282617,NA,0.69047619047619,0,NA,NA,NA,NA
1,16,"a","c","b","a",20,40,-20,-200,11,1,432.069596282617,NA,0.69047619047619,0,NA,NA,NA,NA
1,17,"a","d","b","a",100,20,80,-100,38,1,432.069596282617,NA,0.69047619047619,0,NA,NA,NA,NA
1,18,"a","d","b","a",10,40,-30,-100,-2,1,432.069596282617,NA,0.69047619047619,0,NA,NA,NA,NA
1,19,"a","c","b","a",80,15,65,-200,27,1,432.069596282617,NA,0.69047619047619,0,NA,NA,NA,NA
1,20,"a","d","b","a",80,40,40,650,3,2,432.069596282617,NA,0.69047619047619,0,NA,NA,NA,NA
1,21,"a","c","b","a",30,20,10,1050,8,2,432.069596282617,NA,0.69047619047619,0,NA,NA,NA,NA
1,22,"a","d","b","a",30,10,20,-100,22,2,432.069596282617,NA,0.69047619047619,0,NA,NA,NA,NA
1,23,"a","d","b","a",40,10,30,-100,1,2,432.069596282617,NA,0.69047619047619,0,NA,NA,NA,NA
1,24,"a","d","b","a",20,50,-30,-100,43,2,432.069596282617,NA,0.69047619047619,0,NA,NA,NA,NA
1,25,"a","c","b","a",60,20,40,-200,-13,2,432.069596282617,NA,0.69047619047619,0,NA,NA,NA,NA
1,26,"a","c","b","a",90,15,75,-200,53,2,432.069596282617,NA,0.69047619047619,0,NA,NA,NA,NA
1,27,"a","d","b","a",60,25,35,-100,30,2,432.069596282617,NA,0.69047619047619,0,NA,NA,NA,NA
1,28,"a","c","b","a",40,30,10,-200,10,2,432.069596282617,NA,0.69047619047619,0,NA,NA,NA,NA
1,29,"a","c","b","a",90,45,45,-200,41,2,432.069596282617,NA,0.69047619047619,0,NA,NA,NA,NA
1,30,"a","c","b","a",90,25,65,1050,4,2,432.069596282617,NA,0.69047619047619,0,NA,NA,NA,NA
1,31,"a","d","b","a",100,40,60,650,24,2,432.069596282617,NA,0.69047619047619,0,NA,NA,NA,NA
1,32,"a","d","b","a",20,20,0,-100,37,2,432.069596282617,NA,0.69047619047619,0,NA,NA,NA,NA
1,33,"a","c","b","a",80,50,30,-200,15,2,432.069596282617,NA,0.69047619047619,0,NA,NA,NA,NA
1,34,"a","d","b","a",20,10,10,-100,17,2,432.069596282617,NA,0.69047619047619,0,NA,NA,NA,NA
1,35,"a","d","b","a",60,5,55,-100,25,2,432.069596282617,NA,0.69047619047619,0,NA,NA,NA,NA
1,36,"a","d","b","a",10,15,-5,-100,10,2,432.069596282617,NA,0.69047619047619,0,NA,NA,NA,NA
1,37,"a","a","a","a",100,50,50,200,28,2,432.069596282617,NA,0.69047619047619,0,NA,NA,NA,NA
1,38,"a","a","a","a",30,40,-10,200,19,2,432.069596282617,NA,0.69047619047619,0,NA,NA,NA,NA
1,39,"a","b","a","a",70,50,20,100,54,2,432.069596282617,NA,0.69047619047619,0,NA,NA,NA,NA
1,40,"a","c","b","a",70,5,65,-200,51,3,432.069596282617,NA,0.69047619047619,0,NA,NA,NA,NA
1,41,"a","d","b","a",70,40,30,650,10,3,432.069596282617,NA,0.69047619047619,0,NA,NA,NA,NA
1,42,"a","c","b","a",80,10,70,-200,41,3,432.069596282617,NA,0.69047619047619,0,NA,NA,NA,NA
1,43,"a","d","b","a",80,45,35,-100,12,3,432.069596282617,NA,0.69047619047619,0,NA,NA,NA,NA
1,44,"a","c","b","a",20,15,5,-200,2,3,432.069596282617,NA,0.69047619047619,0,NA,NA,NA,NA
1,45,"a","d","b","a",40,5,35,-100,26,3,432.069596282617,NA,0.69047619047619,0,NA,NA,NA,NA
1,46,"a","c","b","a",30,50,-20,1050,54,3,432.069596282617,NA,0.69047619047619,0,NA,NA,NA,NA
1,47,"a","c","b","a",20,25,-5,-200,-3,3,432.069596282617,NA,0.69047619047619,0,NA,NA,NA,NA
1,48,"a","d","b","a",70,15,55,-100,-19,3,432.069596282617,NA,0.69047619047619,0,NA,NA,NA,NA
1,49,"a","d","b","a",40,15,25,-100,42,3,432.069596282617,NA,0.69047619047619,0,NA,NA,NA,NA
1,50,"a","c","b","a",10,35,-25,-200,3,3,432.069596282617,NA,0.69047619047619,0,NA,NA,NA,NA
1,51,"a","c","b","a",100,35,65,-200,86,3,432.069596282617,NA,0.69047619047619,0,NA,NA,NA,NA
1,52,"a","d","b","a",50,20,30,650,47,3,432.069596282617,NA,0.69047619047619,0,NA,NA,NA,NA
1,53,"a","d","b","a",60,15,45,-100,104,3,432.069596282617,NA,0.69047619047619,0,NA,NA,NA,NA
